Date,High,Close,Low,Index
2014/11/10,"3,566.40","3,566.40","3,516.70",559
2014/11/11,"3,586.47","3,499.26","3,468.61",560
2014/11/12,"3,552.15","3,552.15","3,477.79",561
2014/11/13,"3,559.14","3,519.25","3,500.59",562
2014/11/14,"3,517.21","3,514.63","3,486.35",563
2014/11/17,"3,555.65","3,528.76","3,504.86",564
2014/11/18,"3,536.61","3,519.92","3,507.47",565
2014/11/19,"3,542.67","3,529.70","3,514.68",566
2014/11/20,"3,534.41","3,526.77","3,511.66",567
2014/11/21,"3,576.23","3,575.87","3,525.84",568
2014/11/24,"3,657.75","3,641.00","3,597.30",569
2014/11/25,"3,694.15","3,694.15","3,636.61",570
2014/11/26,"3,730.73","3,730.46","3,693.01",571
2014/11/27,"3,765.20","3,765.20","3,724.67",572
2014/11/28,"3,801.68","3,801.61","3,747.31",573
2014/12/1,"3,827.84","3,789.73","3,772.88",574
2014/12/2,"3,892.88","3,879.90","3,775.99",575
2014/12/3,"3,947.54","3,928.62","3,860.05",576
2014/12/4,"4,051.75","4,051.31","3,930.08",577
2014/12/5,"4,092.41","4,018.93","3,897.07",578
2014/12/8,"4,131.52","4,115.81","3,964.62",579
2014/12/9,"4,204.73","3,935.37","3,911.17",580
2014/12/10,"4,078.06","4,074.05","3,897.30",581
2014/12/11,"4,120.01","4,078.68","4,030.36",582
2014/12/12,"4,122.59","4,105.88","4,072.85",583
2014/12/15,"4,160.42","4,153.42","4,072.80",584
2014/12/16,"4,210.72","4,210.72","4,144.00",585
2014/12/17,"4,235.50","4,225.94","4,150.00",586
2014/12/18,"4,252.65","4,212.88","4,196.69",587
2014/12/19,"4,221.76","4,217.02","4,119.40",588
2014/12/22,"4,222.86","4,136.18","4,104.39",589
2014/12/23,"4,159.29","4,055.34","4,048.34",590
2014/12/24,"4,083.65","4,027.01","3,982.43",591
2014/12/25,"4,126.02","4,125.63","4,026.75",592
2014/12/26,"4,214.86","4,210.81","4,123.72",593
2014/12/29,"4,253.18","4,186.36","4,143.83",594
2014/12/30,"4,197.20","4,152.93","4,128.92",595
2014/12/31,"4,222.19","4,219.00","4,149.04",596
2015/1/5,"4,330.56","4,310.69","4,218.60",597
2015/1/6,"4,348.27","4,338.93","4,255.39",598
2015/1/7,"4,355.40","4,341.89","4,299.12",599
2015/1/8,"4,351.56","4,277.76","4,263.70",600
2015/1/9,"4,375.97","4,257.06","4,253.51",601
2015/1/12,"4,254.43","4,209.38","4,167.46",602
2015/1/13,"4,252.94","4,236.69","4,202.85",603
2015/1/14,"4,260.34","4,220.66","4,191.83",604
2015/1/15,"4,304.69","4,304.69","4,211.03",605
2015/1/16,"4,365.77","4,349.65","4,308.69",606
2015/1/19,"4,244.65","4,102.10","4,064.53",607
2015/1/20,"4,197.63","4,196.97","4,096.62",608
2015/1/21,"4,347.11","4,342.22","4,215.30",609
2015/1/22,"4,390.16","4,385.06","4,327.68",610
2015/1/23,"4,421.36","4,368.62","4,347.06",611
2015/1/26,"4,436.85","4,435.87","4,370.45",612
2015/1/27,"4,451.14","4,425.60","4,350.41",613
2015/1/28,"4,437.59","4,383.22","4,370.17",614
2015/1/29,"4,368.13","4,342.75","4,315.31",615
2015/1/30,"4,372.58","4,287.84","4,287.78",616
2015/2/2,"4,274.21","4,227.98","4,203.90",617
2015/2/3,"4,318.58","4,317.46","4,244.74",618
