Date,Value1,Value2,Index
2014-01-15,0.3062,"2,797.39",361
2014-01-16,0.0545,"2,798.91",362
2014-01-17,-1.2245,"2,764.64",363
2014-01-20,-0.6725,"2,746.05",364
2014-01-21,1.2919,"2,781.52",365
2014-01-22,2.4598,"2,849.94",366
2014-01-23,0.1504,"2,854.23",367
2014-01-24,0.9899,"2,882.48",368
2014-01-27,-0.7727,"2,860.21",369
2014-01-28,-0.0394,"2,859.09",370
2014-01-29,0.724,"2,879.79",371
2014-01-30,-0.7967,"2,856.84",372
2014-02-07,1.1851,"2,890.70",373
2014-02-10,2.5727,"2,965.07",374
2014-02-11,0.4206,"2,977.54",375
2014-02-12,0.7229,"2,999.06",376
2014-02-13,-1.1458,"2,964.70",377
2014-02-14,1.2895,"3,002.93",378
2014-02-17,1.3907,"3,044.69",379
2014-02-18,-0.6477,"3,024.97",380
2014-02-19,0.5828,"3,042.60",381
2014-02-20,-1.2244,"3,005.35",382
2014-02-21,-0.6881,"2,984.67",383
2014-02-24,-0.9692,"2,955.74",384
2014-02-25,-3.2064,"2,860.97",385
2014-02-26,0.4459,"2,873.72",386
2014-02-27,-0.9477,"2,846.49",387
2014-02-28,1.0809,"2,877.26",388
2014-03-03,1.3366,"2,915.71",389
2014-03-04,-0.1196,"2,912.23",390
2014-03-05,-0.5774,"2,895.41",391
2014-03-06,0.2041,"2,901.32",392
2014-03-07,-0.2812,"2,893.16",393
2014-03-10,-3.4729,"2,792.69",394
2014-03-11,0.1885,"2,797.95",395
2014-03-12,0.0469,"2,799.26",396
2014-03-13,1.265,"2,834.67",397
2014-03-14,-0.5509,"2,819.06",398
2014-03-17,1.5849,"2,863.74",399
2014-03-18,0.1848,"2,869.03",400
2014-03-19,-0.4268,"2,856.79",401
2014-03-20,-2.1536,"2,795.26",402
2014-03-21,2.5307,"2,866.00",403
2014-03-24,0.6416,"2,884.39",404
2014-03-25,-0.0248,"2,883.67",405
2014-03-26,0.1432,"2,887.80",406
2014-03-27,-1.2603,"2,851.41",407
2014-03-28,-1.2757,"2,815.04",408
2014-03-31,-0.4899,"2,801.24",409
2014-04-01,1.204,"2,834.97",410
2014-04-02,0.245,"2,841.92",411
2014-04-03,-0.3783,"2,831.17",412
2014-04-04,1.0481,"2,860.84",413
2014-04-08,1.6134,"2,906.99",414
2014-04-09,0.5391,"2,922.67",415
2014-04-10,0.9986,"2,951.85",416
2014-04-11,-0.2908,"2,943.27",417
2014-04-14,0.3198,"2,952.68",418
2014-04-15,-1.1484,"2,918.78",419
2014-04-16,0.0978,"2,921.63",420
2014-04-17,-0.17,"2,916.66",421
2014-04-18,0.1977,"2,922.43",422
2014-04-21,-1.5868,"2,876.06",423
2014-04-22,-0.1645,"2,871.33",424
2014-04-23,-0.2356,"2,864.56",425
2014-04-24,-0.5777,"2,848.01",426
2014-04-25,-1.5599,"2,803.59",427
2014-04-28,-2.3612,"2,737.39",428
2014-04-29,1.1918,"2,770.01",429
2014-04-30,0.459,"2,782.73",430
2014-05-05,0.462,"2,795.58",431
2014-05-06,0.3522,"2,805.43",432
2014-05-07,-1.3181,"2,768.45",433
2014-05-08,-0.0158,"2,768.01",434
2014-05-09,-0.5479,"2,752.85",435
2014-05-12,2.2253,"2,814.11",436
2014-05-13,-0.1612,"2,809.57",437
2014-05-14,-0.0582,"2,807.94",438
2014-05-15,-1.5827,"2,763.50",439
2014-05-16,-0.1155,"2,760.31",440
2014-05-19,-0.9293,"2,734.65",441
2014-05-20,0.2243,"2,740.79",442
2014-05-21,0.9018,"2,765.51",443
2014-05-22,-0.0781,"2,763.34",444
2014-05-23,0.9594,"2,789.86",445
2014-05-26,0.8028,"2,812.25",446
2014-05-27,-0.3784,"2,801.61",447
2014-05-28,1.1342,"2,833.39",448
2014-05-29,-0.9031,"2,807.80",449
2014-05-30,0.1551,"2,812.16",450
2014-06-03,-0.211,"2,806.22",451
2014-06-04,-0.8647,"2,781.95",452
2014-06-05,1.1636,"2,814.33",453
2014-06-06,-0.4997,"2,800.26",454
2014-06-09,-0.3249,"2,791.17",455
2014-06-10,1.2504,"2,826.07",456
2014-06-11,0.2887,"2,834.22",457
2014-06-12,-0.2218,"2,827.94",458
2014-06-13,1.0677,"2,858.13",459
2014-06-16,0.6767,"2,877.47",460
2014-06-17,-0.9452,"2,850.28",461
2014-06-18,-0.5698,"2,834.03",462
2014-06-19,-2.1491,"2,773.13",463
2014-06-20,0.7329,"2,793.45",464
2014-06-23,0.4657,"2,806.46",465
2014-06-24,0.5969,"2,823.21",466
2014-06-25,-0.5028,"2,809.01",467
2014-06-26,1.0916,"2,839.68",468
2014-06-27,0.4091,"2,851.29",469
2014-06-30,0.8435,"2,875.34",470
2014-07-01,0.3103,"2,884.27",471
2014-07-02,0.4601,"2,897.54",472
2014-07-03,0.5958,"2,914.80",473
2014-07-04,-0.1277,"2,911.08",474
2014-07-07,-0.0502,"2,909.62",475
2014-07-08,0.4837,"2,923.69",476
2014-07-09,-1.4733,"2,880.61",477
